MARKET,NUMER SKLEPU,IP
Kowary 1,10434,10.84.34.100
Bełchatów 2,10803,10.88.3.100
Radziejów 1,10907,10.89.7.100
Plewiska 1,12465,10.54.65.100
Krobia 1,10003,10.80.3.100
Ostrów 7,10004,10.80.4.100
Odolanów 1,10005,10.80.5.100
Krzemieniewo,10006,10.80.6.100
Wrocław 1,10007,10.80.7.100
Sulmierzyce 1,10012,10.80.12.100
Żmigród 1,10013,10.80.13.100
Oleśnica,10014,10.80.14.100
Środa Śląska 1,10015,10.80.15.100
Śrem 1,10016,10.80.16.100
Pleszew 1,10017,10.80.17.100
Wrocław 2,10018,10.80.18.100
Gostyń 1,10019,10.80.19.100
Jaworzyna Śląska,10020,10.80.20.100
Ostroróg,10021,10.80.21.100
Grabów,10022,10.80.22.100
Kłodawa (Wlkp) 1,10023,10.80.23.100
Wrocław 3,10024,10.80.24.100
Połajewo,10025,10.80.25.100
Miejska Górka,10026,10.80.26.100
Piątek,10027,10.80.27.100
Brzeg 1,10028,10.80.28.100
Zbąszyń 1,10029,10.80.29.100
Leszno 7,10030,10.80.30.100
Kłecko 1,10031,10.80.31.100
Gołuchów,10032,10.80.32.100
Szadek,10033,10.80.33.100
Oborniki Śląskie 1,10034,10.80.34.100
Rozdrażew 1,10035,10.80.35.100
Zawonia 1,10036,10.80.36.100
Leszno 2,10037,10.80.37.100
Ostrów 4,10038,10.80.38.100
Dopiewo 1,10039,10.80.39.100
Rydzyna 2,10040,10.80.40.100
Środa Wlkp. 1,10041,10.80.41.100
Krzywiń,10042,10.80.42.100
Kościan 1,10043,10.80.43.100
Szczerców,10044,10.80.44.100
Trzebnica 1,10045,10.80.45.100
Śmigiel 1,10047,10.80.47.100
Piaski,10048,10.80.48.100
Krotoszyn 1,10049,10.80.49.100
Gryfów Śląski,10050,10.80.50.100
Ostrów 5,10051,10.80.51.100
Żórawina,10052,10.80.52.100
Krotoszyn 2,10053,10.80.53.100
Rakoniewice,10055,10.80.55.100
Raszków,10056,10.80.56.100
Gołańcz,10057,10.80.57.100
Wąsosz,10058,10.80.58.100
Witkowo,10059,10.80.59.100
Żarów,10060,10.80.60.100
Pyzdry 1,10061,10.80.61.100
Kolonowskie,10062,10.80.62.100
Lwówek (Wlkp.) 1,10064,10.80.64.100
Książ Wlkp. 1,10065,10.80.65.100
Jarocin 3,10067,10.80.67.100
Dobrzyca,10068,10.80.68.100
Wrocław 5,10069,10.80.69.100
Pogorzela 2,10071,10.80.71.100
Konin 2,10072,10.80.72.100
Szprotawa 1,10073,10.80.73.100
Kobylin 1,10074,10.80.74.100
Krotoszyn 4,10075,10.80.75.100
Św. Katarzyna,10076,10.80.76.100
Leszno 5,10078,10.80.78.100
Rawicz-Masłowo 1,10079,10.80.79.100
Wołów 1,10080,10.80.80.100
Bojanowo,10081,10.80.81.100
Rychwał,10082,10.80.82.100
Siechnice,10083,10.80.83.100
Poniec 2,10084,10.80.84.100
Wschowa 1,10085,10.80.85.100
Kępno,10088,10.80.88.100
Wrocław 7,10089,10.80.89.100
Boguszów Gorce 1,10092,10.80.92.100
Zduny 1,10094,10.80.94.100
Pępowo 1,10095,10.80.95.100
Milicz 1,10096,10.80.96.100
Tarnowo 1,10097,10.80.97.100
Koźmin 1,10098,10.80.98.100
Osięciny,10099,10.80.99.100
Jutrosin 1,10101,10.81.1.100
Obrzycko,10102,10.81.2.100
Leszno 8,10103,10.81.3.100
Izbica Kujawska 1,10104,10.81.4.100
Mirsk,10105,10.81.5.100
Jedlina Zdrój 1,10106,10.81.6.100
września 1,10107,10.81.7.100
Czarny Bór,10108,10.81.8.100
Trzciel,10109,10.81.9.100
Nowogród,10110,10.81.10.100
Włoszakowice 1,10111,10.81.11.100
Osieczna,10112,10.81.12.100
Duszniki,10113,10.81.13.100
Przemęt,10114,10.81.14.100
Szamocin,10115,10.81.15.100
Gostyń 2,10116,10.81.16.100
Smolec,10117,10.81.17.100
Iłowa 1,10118,10.81.18.100
Gorzów Śląski,10120,10.81.20.100
Głuszyca,10121,10.81.21.100
Barcin,10122,10.81.22.100
Złoczew,10123,10.81.23.100
